name,recclass,mass (g),year,reclat,reclong
Aachen,L5,21,01/01/1880 12:00:00 AM,50.775000,6.083330
Aarhus,H6,720,01/01/1951 12:00:00 AM,56.183330,10.233330
Abee,EH4,107000,01/01/1952 12:00:00 AM,54.216670,-113.000000
Acapulco,Acapulcoite,1914,01/01/1976 12:00:00 AM,16.883330,-99.900000
Achiras,L6,780,01/01/1902 12:00:00 AM,-33.166670,-64.950000
Adhi Kot,EH4,4239,01/01/1919 12:00:00 AM,32.100000,71.800000
Adzhi-Bogdo (stone),LL3-6,910,01/01/1949 12:00:00 AM,44.833330,95.166670
Agen,H5,30000,01/01/1814 12:00:00 AM,44.216670,0.616670
Aguada,L6,1620,01/01/1930 12:00:00 AM,-31.600000,-65.233330
Aguila Blanca,L,1440,01/01/1920 12:00:00 AM,-30.866670,-64.550000
Aioun el Atrouss,Diogenite-pm,1000,01/01/1974 12:00:00 AM,16.398060,-9.570280
Aïr,L6,24000,01/01/1925 12:00:00 AM,19.083330,8.383330
Aire-sur-la-Lys,Unknown,,01/01/1769 12:00:00 AM,50.666670,2.333330
Akaba,L6,779,01/01/1949 12:00:00 AM,29.516670,35.050000
Akbarpur,H4,1800,01/01/1838 12:00:00 AM,29.716670,77.950000
Akwanga,H,3000,01/01/1959 12:00:00 AM,8.916670,8.433330
Akyumak,"Iron, IVA",50000,01/01/1981 12:00:00 AM,39.916670,42.816670
Al Rais,CR2-an,160,01/01/1957 12:00:00 AM,24.416670,39.516670
Al Zarnkh,LL5,700,01/01/2001 12:00:00 AM,13.660330,28.960000
Alais,CI1,6000,01/01/1806 12:00:00 AM,44.116670,4.083330
Albareto,L/LL4,2000,01/01/1766 12:00:00 AM,44.650000,11.016670
Alberta,L,625,01/01/1949 12:00:00 AM,2.000000,22.666670
Alby sur Chéran,Eucrite-mmict,252,01/01/2002 12:00:00 AM,45.821330,6.015330
Aldsworth,LL5,700,01/01/1835 12:00:00 AM,51.783330,-1.783330
Aleppo,L6,3200,01/01/1873 12:00:00 AM,36.233330,37.133330
Alessandria,H5,908,01/01/1860 12:00:00 AM,44.883330,8.750000
Alexandrovsky,H4,9251,01/01/1900 12:00:00 AM,50.950000,31.816670
Alfianello,L6,228000,01/01/1883 12:00:00 AM,45.266670,10.150000
Allegan,H5,32000,01/01/1899 12:00:00 AM,42.533330,-85.883330
